,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.478
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.15400000000000003
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.29799999999999993
169,0.262
170,0.784
171,0.0
172,0.0
173,0.33399999999999996
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.4959999999999999
180,0.0
181,0.82
182,0.0
183,0.22599999999999998
184,0.784
185,0.42399999999999993
186,0.37
187,0.0
188,0.0
189,0.0
190,0.6579999999999999
191,0.0
192,0.0
193,0.532
194,0.766
195,0.6579999999999999
196,0.532
197,0.244
198,0.0
199,0.0
200,0.0
201,0.0
202,0.33399999999999996
203,0.838
204,0.712
205,0.838
206,0.874
207,0.856
208,0.0
209,0.766
210,0.4959999999999999
211,0.478
212,0.0
213,0.0
214,0.6399999999999999
215,0.0
216,0.802
217,0.0
218,0.784
219,0.15400000000000003
220,0.37
221,0.0
222,0.0
223,0.0
224,0.73
225,0.0
226,0.802
227,0.45999999999999996
228,0.0
229,0.478
230,0.136
231,0.29799999999999993
232,0.0
233,0.838
234,0.604
235,0.3879999999999999
236,0.856
237,0.784
238,0.694
239,0.55
240,0.82
241,0.586
242,0.766
243,0.118
244,0.82
245,0.0
246,0.0
247,0.802
248,0.44199999999999995
249,0.784
250,0.0
251,0.0
252,0.712
253,0.0
254,0.0
255,0.0
256,0.0
257,0.6579999999999999
258,0.748
259,0.0
260,0.784
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.6579999999999999
268,0.82
269,0.766
270,0.0
271,0.29799999999999993
272,0.802
273,0.514
274,0.37
275,0.838
276,0.0
277,0.838
278,0.784
279,0.6579999999999999
280,0.0
281,0.0
282,0.0
283,0.73
284,0.6579999999999999
285,0.856
286,0.0
287,0.856
288,0.0
289,0.0
290,0.6759999999999999
291,0.55
292,0.6759999999999999
293,0.22599999999999998
294,0.0
295,0.712
296,0.0
297,0.73
298,0.712
299,0.784
300,0.82
301,0.622
302,0.838
303,0.17199999999999993
304,0.874
305,0.802
306,0.0
307,0.0
308,0.694
309,0.856
310,0.31599999999999995
311,0.0
312,0.0
313,0.0
314,0.15400000000000003
315,0.0
316,0.0
317,0.0
318,0.784
319,0.694
320,0.0
321,0.0
322,0.6759999999999999
323,0.82
324,0.0
325,0.0
326,0.0
327,0.0
328,0.694
329,0.604
330,0.0
331,0.37
332,0.0
333,0.0
334,0.532
335,0.0
336,0.766
337,0.0
338,0.0
339,0.6759999999999999
340,0.0
341,0.5680000000000001
342,0.73
343,0.784
344,0.18999999999999995
345,0.514
346,0.0
347,0.856
348,0.0
349,0.784
350,0.0
351,0.6579999999999999
352,0.0
353,0.29799999999999993
354,0.0
355,0.6759999999999999
356,0.6759999999999999
357,0.73
358,0.0
359,0.0
360,0.22599999999999998
361,0.694
362,0.838
363,0.874
364,0.0
365,0.3879999999999999
366,0.0
367,0.784
368,0.0
369,0.20799999999999996
370,0.82
371,0.0
372,0.42399999999999993
373,0.0
374,0.802
375,0.838
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.874
383,0.0
384,0.82
385,0.0
386,0.856
387,0.37
388,0.4059999999999999
389,0.136
390,0.0
391,0.0
392,0.0
393,0.73
394,0.0
395,0.29799999999999993
396,0.0
397,0.15400000000000003
398,0.0
399,0.586
400,0.0
401,0.0
402,0.29799999999999993
403,0.838
404,0.622
405,0.82
406,0.0
407,0.604
408,0.0
409,0.6399999999999999
410,0.0
411,0.244
412,0.0
413,0.6579999999999999
414,0.874
415,0.0
416,0.0
417,0.0
418,0.856
419,0.0
420,0.55
421,0.0
422,0.514
423,0.0
424,0.0
425,0.838
426,0.514
427,0.0
428,0.0
429,0.0
430,0.0
431,0.694
432,0.874
433,0.45999999999999996
434,0.5680000000000001
435,0.0
436,0.6759999999999999
437,0.0
438,0.37
439,0.17199999999999993
440,0.0
441,0.0
442,0.5680000000000001
443,0.802
444,0.856
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.694
451,0.514
452,0.0
453,0.586
454,0.6579999999999999
455,0.82
456,0.45999999999999996
457,0.478
458,0.73
459,0.586
460,0.118
461,0.2799999999999999
462,0.0
463,0.6399999999999999
464,0.0
465,0.0
466,0.0
467,0.478
468,0.0
469,0.352
470,0.838
471,0.0
472,0.0
473,0.136
474,0.09999999999999998
475,0.82
476,0.0
477,0.5680000000000001
478,0.37
479,0.874
480,0.82
481,0.09999999999999998
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.31599999999999995
490,0.0
491,0.0
492,0.82
493,0.784
494,0.748
495,0.748
496,0.0
497,0.0
498,0.604
499,0.0
500,0.748
501,0.0
502,0.15400000000000003
503,0.0
504,0.0
505,0.0
506,0.748
507,0.0
508,0.0
509,0.0
510,0.42399999999999993
511,0.18999999999999995
512,0.802
513,0.0
514,0.0
515,0.748
516,0.532
517,0.55
518,0.766
519,0.0
520,0.31599999999999995
